Date,Store_ID,Store_Name,City,State,Department,Weekly_Sales,Promotion_Discount,Is_Holiday,Holiday_Name,Temperature_C,Fuel_Price_INR,CPI,Unemployment_Rate,Store_Size_SqFt
2024-01-05,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Grocery,526023.26,0.1,0,Regular_Week,28.1,97.92,182.0,7.28,165000
2024-01-05,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Electronics,700348.56,0.0,0,Regular_Week,28.0,97.92,182.0,7.28,165000
2024-01-05,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Apparel,361649.77,0.0,0,Regular_Week,27.3,97.92,182.0,7.28,165000
2024-01-05,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Home_Garden,299440.43,0.0,0,Regular_Week,29.2,97.92,182.0,7.28,165000
2024-01-05,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Pharmacy,231589.27,0.15,0,Regular_Week,29.3,97.92,182.0,7.28,165000
2024-01-05,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Grocery,425863.11,0.0,0,Regular_Week,22.5,97.92,182.0,7.28,140000
2024-01-05,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Electronics,689807.4,0.0,0,Regular_Week,23.5,97.92,182.0,7.28,140000
2024-01-05,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Apparel,367195.0,0.0,0,Regular_Week,22.0,97.92,182.0,7.28,140000
2024-01-05,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Home_Garden,253705.44,0.0,0,Regular_Week,24.7,97.92,182.0,7.28,140000
2024-01-05,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Pharmacy,226846.07,0.15,0,Regular_Week,23.5,97.92,182.0,7.28,140000
2024-01-05,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Grocery,566322.65,0.15,0,Regular_Week,14.0,97.92,182.0,7.28,150000
2024-01-05,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Electronics,725717.2,0.0,0,Regular_Week,14.0,97.92,182.0,7.28,150000
2024-01-05,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Apparel,374482.03,0.0,0,Regular_Week,14.7,97.92,182.0,7.28,150000
2024-01-05,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Home_Garden,274147.1,0.0,0,Regular_Week,13.2,97.92,182.0,7.28,150000
2024-01-05,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Pharmacy,193079.19,0.0,0,Regular_Week,13.6,97.92,182.0,7.28,150000
2024-01-05,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Grocery,409931.32,0.0,0,Regular_Week,32.8,97.92,182.0,7.28,125000
2024-01-05,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Electronics,580960.35,0.0,0,Regular_Week,33.7,97.92,182.0,7.28,125000
2024-01-05,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Apparel,360384.5,0.1,0,Regular_Week,31.2,97.92,182.0,7.28,125000
2024-01-05,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Home_Garden,225840.69,0.0,0,Regular_Week,33.2,97.92,182.0,7.28,125000
2024-01-05,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Pharmacy,159224.71,0.0,0,Regular_Week,31.9,97.92,182.0,7.28,125000
2024-01-05,Store_05,Hyderabad - Hitec City Cyber Towers,Hyderabad,Telangana,Grocery,399570.15,0.0,0,Regular_Week,26.8,97.92,182.0,7.28,130000
2024-01-05,Store_05,Hyderabad - Hitec City Cyber Towers,Hyderabad,Telangana,Electronics,751981.35,0.15,0,Regular_Week,27.0,97.92,182.0,7.28,130000
2024-01-05,Store_05,Hyderabad - Hitec City Cyber Towers,Hyderabad,Telangana,Apparel,324272.13,0.0,0,Regular_Week,27.1,97.92,182.0,7.28,130000
2024-01-05,Store_05,Hyderabad - Hitec City Cyber Towers,Hyderabad,Telangana,Home_Garden,254635.35,0.0,0,Regular_Week,28.7,97.92,182.0,7.28,130000
2024-01-05,Store_05,Hyderabad - Hitec City Cyber Towers,Hyderabad,Telangana,Pharmacy,198252.01,0.1,0,Regular_Week,27.2,97.92,182.0,7.28,130000
2024-01-05,Store_06,Kolkata - Park Street Cultural Mall,Kolkata,West Bengal,Grocery,395139.18,0.0,0,Regular_Week,23.8,97.92,182.0,7.28,110000
2024-01-05,Store_06,Kolkata - Park Street Cultural Mall,Kolkata,West Bengal,Electronics,568659.79,0.0,0,Regular_Week,24.2,97.92,182.0,7.28,110000
2024-01-05,Store_06,Kolkata - Park Street Cultural Mall,Kolkata,West Bengal,Apparel,313931.8,0.0,0,Regular_Week,23.5,97.92,182.0,7.28,110000
2024-01-05,Store_06,Kolkata - Park Street Cultural Mall,Kolkata,West Bengal,Home_Garden,202069.99,0.0,0,Regular_Week,24.2,97.92,182.0,7.28,110000
2024-01-05,Store_06,Kolkata - Park Street Cultural Mall,Kolkata,West Bengal,Pharmacy,153058.42,0.0,0,Regular_Week,24.0,97.92,182.0,7.28,110000
2024-01-05,Store_07,Pune - Kothrud Commercial Hub,Pune,Maharashtra,Grocery,421353.71,0.1,0,Regular_Week,26.6,97.92,182.0,7.28,95000
2024-01-05,Store_07,Pune - Kothrud Commercial Hub,Pune,Maharashtra,Electronics,563731.31,0.05,0,Regular_Week,26.4,97.92,182.0,7.28,95000
2024-01-05,Store_07,Pune - Kothrud Commercial Hub,Pune,Maharashtra,Apparel,293493.03,0.05,0,Regular_Week,27.7,97.92,182.0,7.28,95000
2024-01-05,Store_07,Pune - Kothrud Commercial Hub,Pune,Maharashtra,Home_Garden,247563.16,0.15,0,Regular_Week,25.6,97.92,182.0,7.28,95000
2024-01-05,Store_07,Pune - Kothrud Commercial Hub,Pune,Maharashtra,Pharmacy,154224.14,0.0,0,Regular_Week,27.9,97.92,182.0,7.28,95000
2024-01-05,Store_08,Ahmedabad - SG Highway Hypermarket,Ahmedabad,Gujarat,Grocery,416081.6,0.1,0,Regular_Week,30.4,97.92,182.0,7.28,120000
2024-01-05,Store_08,Ahmedabad - SG Highway Hypermarket,Ahmedabad,Gujarat,Electronics,554588.84,0.0,0,Regular_Week,29.2,97.92,182.0,7.28,120000
2024-01-05,Store_08,Ahmedabad - SG Highway Hypermarket,Ahmedabad,Gujarat,Apparel,355129.53,0.0,0,Regular_Week,27.7,97.92,182.0,7.28,120000
2024-01-05,Store_08,Ahmedabad - SG Highway Hypermarket,Ahmedabad,Gujarat,Home_Garden,217479.91,0.0,0,Regular_Week,28.6,97.92,182.0,7.28,120000
2024-01-05,Store_08,Ahmedabad - SG Highway Hypermarket,Ahmedabad,Gujarat,Pharmacy,205294.33,0.15,0,Regular_Week,29.8,97.92,182.0,7.28,120000
2024-01-05,Store_09,Jaipur - MI Road Heritage Store,Jaipur,Rajasthan,Grocery,362398.69,0.05,0,Regular_Week,14.1,97.92,182.0,7.28,85000
2024-01-05,Store_09,Jaipur - MI Road Heritage Store,Jaipur,Rajasthan,Electronics,589957.61,0.1,0,Regular_Week,13.5,97.92,182.0,7.28,85000
2024-01-05,Store_09,Jaipur - MI Road Heritage Store,Jaipur,Rajasthan,Apparel,329531.87,0.15,0,Regular_Week,13.7,97.92,182.0,7.28,85000
2024-01-05,Store_09,Jaipur - MI Road Heritage Store,Jaipur,Rajasthan,Home_Garden,224690.73,0.1,0,Regular_Week,13.5,97.92,182.0,7.28,85000
2024-01-05,Store_09,Jaipur - MI Road Heritage Store,Jaipur,Rajasthan,Pharmacy,136976.1,0.0,0,Regular_Week,13.2,97.92,182.0,7.28,85000
2024-01-05,Store_10,Kochi - Marine Drive Coastal Mall,Kochi,Kerala,Grocery,403867.28,0.15,0,Regular_Week,32.8,97.92,182.0,7.28,90000
2024-01-05,Store_10,Kochi - Marine Drive Coastal Mall,Kochi,Kerala,Electronics,519967.75,0.0,0,Regular_Week,33.3,97.92,182.0,7.28,90000
2024-01-05,Store_10,Kochi - Marine Drive Coastal Mall,Kochi,Kerala,Apparel,346053.78,0.15,0,Regular_Week,32.3,97.92,182.0,7.28,90000
2024-01-05,Store_10,Kochi - Marine Drive Coastal Mall,Kochi,Kerala,Home_Garden,194384.32,0.0,0,Regular_Week,34.7,97.92,182.0,7.28,90000
2024-01-05,Store_10,Kochi - Marine Drive Coastal Mall,Kochi,Kerala,Pharmacy,180455.16,0.15,0,Regular_Week,31.8,97.92,182.0,7.28,90000
2024-01-12,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Grocery,466609.16,0.05,0,Regular_Week,33.6,98.1,182.3,7.56,165000
2024-01-12,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Electronics,677593.69,0.0,0,Regular_Week,34.7,98.1,182.3,7.56,165000
2024-01-12,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Apparel,428984.78,0.05,0,Regular_Week,34.4,98.1,182.3,7.56,165000
2024-01-12,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Home_Garden,263221.44,0.0,0,Regular_Week,34.5,98.1,182.3,7.56,165000
2024-01-12,Store_01,Mumbai - Bandra Kurla Complex (BKC),Mumbai,Maharashtra,Pharmacy,210576.26,0.0,0,Regular_Week,34.4,98.1,182.3,7.56,165000
2024-01-12,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Grocery,517115.13,0.15,0,Regular_Week,25.5,98.1,182.3,7.56,140000
2024-01-12,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Electronics,788487.45,0.15,0,Regular_Week,25.6,98.1,182.3,7.56,140000
2024-01-12,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Apparel,348357.26,0.0,0,Regular_Week,24.6,98.1,182.3,7.56,140000
2024-01-12,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Home_Garden,259851.6,0.0,0,Regular_Week,23.6,98.1,182.3,7.56,140000
2024-01-12,Store_02,Bengaluru - Indiranagar Tech Hub,Bengaluru,Karnataka,Pharmacy,217491.81,0.15,0,Regular_Week,25.6,98.1,182.3,7.56,140000
2024-01-12,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Grocery,479221.51,0.0,0,Regular_Week,15.0,98.1,182.3,7.56,150000
2024-01-12,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Electronics,807876.47,0.15,0,Regular_Week,14.0,98.1,182.3,7.56,150000
2024-01-12,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Apparel,373491.83,0.0,0,Regular_Week,12.9,98.1,182.3,7.56,150000
2024-01-12,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Home_Garden,309014.14,0.15,0,Regular_Week,13.6,98.1,182.3,7.56,150000
2024-01-12,Store_03,New Delhi - Connaught Place Flagship,New Delhi,Delhi NCR,Pharmacy,208294.4,0.0,0,Regular_Week,12.6,98.1,182.3,7.56,150000
2024-01-12,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Grocery,383062.58,0.0,0,Regular_Week,30.9,98.1,182.3,7.56,125000
2024-01-12,Store_04,Chennai - T. Nagar Shopping Plaza,Chennai,Tamil Nadu,Electronics,540024.99,0.0,0,Regular_Week,31.0,98.1,182.3,7.56,125000
