Date,Store_ID,Store_Size_SqFt,Department,Is_Holiday,Holiday_Name,Promotion_Discount,Temperature,Fuel_Price,CPI,Unemployment_Rate,Weekly_Sales,Year,Month,Week_of_Year,Quarter,Is_Month_End,Week_Sin,Week_Cos,Month_Sin,Month_Cos,Sales_Lag_1,Sales_Lag_2,Sales_Lag_4,Sales_Rolling_Mean_4,Sales_Rolling_Std_4,Sales_Rolling_Mean_12,Sales_Momentum_Ratio,Dept_Apparel,Dept_Electronics,Dept_Grocery,Dept_Home_Garden,Dept_Pharmacy,Holiday_Christmas_Holiday,Holiday_Easter,Holiday_Labor_Day,Holiday_Regular_Week,Holiday_Super_Bowl,Holiday_Thanksgiving_BlackFriday,Store_Store_01,Store_Store_02,Store_Store_03,Store_Store_04,Store_Store_05,Store_Store_06,Store_Store_07,Store_Store_08,Store_Store_09,Store_Store_10
2021-01-29,Store_01,191958,Apparel,0,Regular_Week,0.19,38.7,3.35,215.32,8.52,28759.85,2021,1,4,1,0,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,20475.03,20651.34,18439.8,19730.129999999997,1034.3542254953104,19730.129999999997,1.037754439003821,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-05,Store_01,191958,Apparel,1,Super_Bowl,0.0,33.8,3.34,215.26,8.42,27987.95,2021,2,5,1,0,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,28759.85,20475.03,19354.35,22310.142499999998,4337.998761344337,21536.074,1.289093065501893,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-12,Store_01,191958,Apparel,1,Super_Bowl,0.0,32.1,3.46,216.89,8.55,28778.73,2021,2,6,1,0,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,27987.95,28759.85,20651.34,24468.5425,4521.088593995736,22611.38666666667,1.1438339651232459,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-19,Store_01,191958,Apparel,0,Regular_Week,0.0,43.0,3.44,216.23,8.36,19657.65,2021,2,7,1,0,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,28778.73,27987.95,20475.03,26500.39,4033.765425769494,23492.43571428571,1.085973828654607,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-26,Store_01,191958,Apparel,0,Regular_Week,0.0,39.7,3.44,216.57,8.64,22315.08,2021,2,8,1,0,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,19657.65,28778.73,28759.85,26296.045,4440.904209441287,23013.0875,0.7475515801910321,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-05,Store_01,191958,Apparel,0,Regular_Week,0.0,42.4,3.49,216.02,8.42,21513.39,2021,3,9,1,0,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,22315.08,19657.65,27987.95,24684.8525,4418.101883436484,22935.53111111111,0.9039989196192285,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-12,Store_01,191958,Apparel,0,Regular_Week,0.0,44.9,3.56,216.65,8.25,22281.03,2021,3,10,1,0,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,21513.39,22315.08,28778.73,23066.2125,3967.6446519849796,22793.317,0.9326797795985449,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-19,Store_01,191958,Apparel,0,Regular_Week,0.0,43.2,3.54,217.17,8.22,23113.64,2021,3,11,1,0,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,22281.03,21513.39,19657.65,21441.7875,1245.6914146067713,22746.745454545457,1.0391405096057684,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-26,Store_01,191958,Apparel,1,Easter,0.0,44.2,3.56,216.73,8.36,30140.42,2021,3,12,1,0,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,23113.64,22281.03,22315.08,22305.785000000003,653.5081596277329,22777.319999999996,1.0362172857685943,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-02,Store_01,191958,Apparel,1,Easter,0.25,52.5,3.64,217.69,8.27,48816.09,2021,4,13,2,0,1.0,-1.6081226496766366e-16,0.8660254037844387,-0.4999999999999998,30140.42,23113.64,21513.39,24262.119999999995,3972.9775316673226,23752.37166666667,1.2422830316385036,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
