Date,Store_ID,Store_Size_SqFt,Department,Is_Holiday,Holiday_Name,Promotion_Discount,Temperature,Fuel_Price,CPI,Unemployment_Rate,Weekly_Sales
2021-01-01,Store_01,191958,Apparel,0,None,0.0,34.9,3.23,214.14,8.42,18439.8
2021-01-08,Store_01,191958,Apparel,0,None,0.0,38.5,3.27,214.91,8.48,19354.35
2021-01-15,Store_01,191958,Apparel,0,None,0.0,36.0,3.27,214.88,8.5,20651.34
2021-01-22,Store_01,191958,Apparel,0,None,0.0,34.6,3.26,215.73,8.48,20475.03
2021-01-29,Store_01,191958,Apparel,0,None,0.19,38.7,3.35,215.32,8.52,28759.85
2021-02-05,Store_01,191958,Apparel,1,Super_Bowl,0.0,33.8,3.34,215.26,8.42,27987.95
2021-02-12,Store_01,191958,Apparel,1,Super_Bowl,0.0,32.1,3.46,216.89,8.55,28778.73
2021-02-19,Store_01,191958,Apparel,0,None,0.0,43.0,3.44,216.23,8.36,19657.65
2021-02-26,Store_01,191958,Apparel,0,None,0.0,39.7,3.44,216.57,8.64,22315.08
2021-03-05,Store_01,191958,Apparel,0,None,0.0,42.4,3.49,216.02,8.42,21513.39
2021-03-12,Store_01,191958,Apparel,0,None,0.0,44.9,3.56,216.65,8.25,22281.03
2021-03-19,Store_01,191958,Apparel,0,None,0.0,43.2,3.54,217.17,8.22,23113.64
2021-03-26,Store_01,191958,Apparel,1,Easter,0.0,44.2,3.56,216.73,8.36,30140.42
2021-04-02,Store_01,191958,Apparel,1,Easter,0.25,52.5,3.64,217.69,8.27,48816.09
2021-04-09,Store_01,191958,Apparel,1,Easter,0.0,54.1,3.66,217.39,8.35,30792.11
2021-04-16,Store_01,191958,Apparel,0,None,0.13,53.7,3.65,217.74,8.31,30025.52
2021-04-23,Store_01,191958,Apparel,0,None,0.0,53.7,3.67,217.78,8.24,24925.85
2021-04-30,Store_01,191958,Apparel,0,None,0.0,65.8,3.73,219.2,8.14,26672.15
2021-05-07,Store_01,191958,Apparel,0,None,0.2,63.7,3.66,218.45,8.06,37517.09
2021-05-14,Store_01,191958,Apparel,0,None,0.2,67.1,3.68,218.12,8.15,39344.73
2021-05-21,Store_01,191958,Apparel,0,None,0.19,70.7,3.73,219.26,8.27,38511.24
2021-05-28,Store_01,191958,Apparel,0,None,0.0,79.9,3.76,218.43,8.18,26795.71
2021-06-04,Store_01,191958,Apparel,0,None,0.0,78.4,3.8,219.34,8.02,25807.37
2021-06-11,Store_01,191958,Apparel,0,None,0.06,82.6,3.86,218.44,8.15,30393.65
2021-06-18,Store_01,191958,Apparel,0,None,0.0,78.6,3.84,218.95,8.15,25905.93
2021-06-25,Store_01,191958,Apparel,0,None,0.0,86.6,3.79,219.91,8.01,25296.69
2021-07-02,Store_01,191958,Apparel,0,None,0.0,80.7,3.8,220.37,8.1,25535.47
2021-07-09,Store_01,191958,Apparel,0,None,0.0,83.9,3.75,220.28,8.07,25646.46
2021-07-16,Store_01,191958,Apparel,0,None,0.0,86.5,3.79,220.33,7.94,26475.5
2021-07-23,Store_01,191958,Apparel,0,None,0.15,86.7,3.78,220.43,8.07,32374.69
2021-07-30,Store_01,191958,Apparel,0,None,0.0,88.1,3.8,220.03,8.08,23465.33
2021-08-06,Store_01,191958,Apparel,0,None,0.0,85.3,3.73,220.6,8.11,24520.87
2021-08-13,Store_01,191958,Apparel,0,None,0.0,78.1,3.79,220.92,8.09,30877.57
2021-08-20,Store_01,191958,Apparel,0,None,0.0,81.6,3.82,221.87,7.83,29882.8
2021-08-27,Store_01,191958,Apparel,0,None,0.0,79.0,3.73,221.71,7.86,27608.21
2021-09-03,Store_01,191958,Apparel,1,Labor_Day,0.23,78.6,3.73,220.85,7.99,50865.66
2021-09-10,Store_01,191958,Apparel,1,Labor_Day,0.0,76.1,3.73,222.09,7.97,37277.0
2021-09-17,Store_01,191958,Apparel,0,None,0.0,75.6,3.65,221.92,7.96,22411.5
2021-09-24,Store_01,191958,Apparel,0,None,0.0,69.9,3.66,221.97,8.28,21575.53
2021-10-01,Store_01,191958,Apparel,0,None,0.0,68.3,3.62,222.81,7.93,21575.86
2021-10-08,Store_01,191958,Apparel,0,None,0.0,65.3,3.6,223.21,7.97,21666.47
2021-10-15,Store_01,191958,Apparel,0,None,0.0,60.6,3.53,223.35,7.94,20121.79
2021-10-22,Store_01,191958,Apparel,0,None,0.28,60.0,3.54,222.66,7.89,32262.14
2021-10-29,Store_01,191958,Apparel,0,None,0.0,53.6,3.54,223.11,7.78,20534.04
2021-11-05,Store_01,191958,Apparel,0,None,0.22,53.2,3.55,223.63,7.87,28871.48
2021-11-12,Store_01,191958,Apparel,0,None,0.0,52.7,3.49,224.14,7.7,19399.22
2021-11-19,Store_01,191958,Apparel,0,None,0.0,46.6,3.52,223.61,7.74,19931.3
2021-11-26,Store_01,191958,Apparel,1,Thanksgiving_BlackFriday,0.0,42.0,3.34,223.95,7.7,34801.68
2021-12-03,Store_01,191958,Apparel,0,None,0.0,43.3,3.39,223.68,7.74,18504.75
2021-12-10,Store_01,191958,Apparel,0,None,0.11,40.3,3.32,223.82,7.95,24105.57
2021-12-17,Store_01,191958,Apparel,0,None,0.0,38.1,3.38,225.02,7.51,18346.1
2021-12-24,Store_01,191958,Apparel,1,Christmas_Holiday,0.0,38.0,3.2,225.49,7.75,36325.18
2021-12-31,Store_01,191958,Apparel,1,Christmas_Holiday,0.16,35.5,3.16,224.96,7.51,44874.32
2022-01-07,Store_01,191958,Apparel,0,None,0.0,35.6,3.13,225.69,7.6,20518.72
2022-01-14,Store_01,191958,Apparel,0,None,0.0,37.9,3.02,225.57,7.74,21827.6
2022-01-21,Store_01,191958,Apparel,0,None,0.0,31.9,3.07,225.25,7.63,20661.44
2022-01-28,Store_01,191958,Apparel,0,None,0.0,33.0,3.02,225.95,7.49,20399.95
2022-02-04,Store_01,191958,Apparel,0,None,0.0,35.5,3.03,226.73,7.52,20724.04
2022-02-11,Store_01,191958,Apparel,1,Super_Bowl,0.13,34.2,3.0,226.14,7.64,37638.65
2022-02-18,Store_01,191958,Apparel,0,None,0.0,42.7,3.05,227.13,7.48,21700.85
2022-02-25,Store_01,191958,Apparel,0,None,0.0,41.0,2.97,225.23,7.56,23212.48
2022-03-04,Store_01,191958,Apparel,0,None,0.0,41.1,2.86,227.14,7.53,21945.69
2022-03-11,Store_01,191958,Apparel,0,None,0.0,43.4,2.81,226.97,7.44,22858.7
2022-03-18,Store_01,191958,Apparel,0,None,0.0,49.2,2.85,226.97,7.7,21941.97
2022-03-25,Store_01,191958,Apparel,1,Easter,0.0,49.0,2.74,227.35,7.54,35217.5
2022-04-01,Store_01,191958,Apparel,1,Easter,0.0,54.4,2.87,226.51,7.26,34329.27
2022-04-08,Store_01,191958,Apparel,1,Easter,0.0,53.4,2.81,227.58,7.46,34487.87
2022-04-15,Store_01,191958,Apparel,1,Easter,0.0,54.4,2.7,228.06,7.36,35466.87
2022-04-22,Store_01,191958,Apparel,0,None,0.0,58.7,2.62,228.82,7.5,25226.08
2022-04-29,Store_01,191958,Apparel,0,None,0.27,61.8,2.75,228.01,7.31,38983.99
2022-05-06,Store_01,191958,Apparel,0,None,0.0,67.3,2.66,228.06,7.37,25357.16
2022-05-13,Store_01,191958,Apparel,0,None,0.0,69.5,2.71,228.4,7.41,26369.55
2022-05-20,Store_01,191958,Apparel,0,None,0.0,75.9,2.56,229.3,7.43,26798.05
2022-05-27,Store_01,191958,Apparel,0,None,0.0,74.1,2.6,229.2,7.21,25510.05
2022-06-03,Store_01,191958,Apparel,0,None,0.0,77.9,2.62,228.97,7.28,25447.43
