Feature,Importance
Sales_Rolling_Mean_4,0.19365978
Holiday_Regular_Week,0.156564
Is_Holiday,0.12923098
Sales_Lag_1,0.12859792
Sales_Rolling_Mean_12,0.068041064
Promotion_Discount,0.06375713
Dept_Electronics,0.040055186
Dept_Grocery,0.03239175
Month_Cos,0.024218446
Dept_Home_Garden,0.018816989
Sales_Lag_4,0.012531603
Month,0.012474318
Holiday_Thanksgiving_BlackFriday,0.011729911
Dept_Pharmacy,0.010172769
Week_Cos,0.008594227
Week_of_Year,0.007645983
Store_Store_04,0.007159835
Dept_Apparel,0.0070749563
Week_Sin,0.0065733334
Holiday_Christmas_Holiday,0.0059053474
Quarter,0.0054106647
Holiday_Easter,0.0053308797
Sales_Lag_2,0.005248344
Store_Store_08,0.004937535
Store_Store_07,0.0033947662
Store_Store_06,0.0033095682
Store_Size_SqFt,0.0030991216
Sales_Rolling_Std_4,0.0026895066
Store_Store_05,0.0025823552
CPI,0.0021325205
Unemployment_Rate,0.0018223069
Holiday_Super_Bowl,0.0017564138
Holiday_Labor_Day,0.0015778939
Store_Store_09,0.0015268247
Month_Sin,0.0013340041
Store_Store_01,0.0013137766
Temperature,0.0011477995
Store_Store_10,0.0011063116
Sales_Momentum_Ratio,0.0010538567
Store_Store_02,0.0010174375
Store_Store_03,0.0009501324
Fuel_Price,0.0007534579
Is_Month_End,0.00074008777
Year,0.0005688813
